  sid  | stid |   name    | ord | part | opt 
  7006 |   23 | rateus-pl |   1 |    2 |  74
  7006 |   23 | rateus-pl |   1 |    3 |  92
  7006 |   23 | rateus-pl |   1 |    4 |  22
  7007 |   23 | rateus-pl |   3 |    0 |  82
  7007 |   23 | rateus-pl |   3 |    1 |  61
  7007 |   23 | rateus-pl |   3 |    2 |   7
  7007 |   23 | rateus-pl |   3 |    3 |  12
  7007 |   23 | rateus-pl |   3 |    4 |  69
  7008 |   23 | rateus-pl |   2 |    0 |  73
  7008 |   23 | rateus-pl |   2 |    1 |  57
  7008 |   23 | rateus-pl |   2 |    2 |   2
  7008 |   23 | rateus-pl |   2 |    3 |  64
  7008 |   23 | rateus-pl |   2 |    4 |  73
  7009 |   23 | rateus-pl |   0 |    0 |   0
  7009 |   23 | rateus-pl |   0 |    1 |  48
  7009 |   23 | rateus-pl |   0 |    2 |  83
  7009 |   23 | rateus-pl |   0 |    3 |  55
  7009 |   23 | rateus-pl |   0 |    4 |   5
  7010 |   23 | rateus-pl |   1 |    0 |  10
  7010 |   23 | rateus-pl |   1 |    1 |  90
  7010 |   23 | rateus-pl |   1 |    2 |  97
  7010 |   23 | rateus-pl |   1 |    3 |  97
  7010 |   23 | rateus-pl |   1 |    4 |  12
  7011 |   23 | rateus-pl |   2 |    0 |  78
  7011 |   23 | rateus-pl |   2 |    1 |  57
  7011 |   23 | rateus-pl |   2 |    2 |  11
  7011 |   23 | rateus-pl |   2 |    3 |  26
  7011 |   23 | rateus-pl |   2 |    4 |  67
  7012 |   23 | rateus-pl |   3 |    0 |  79
  7012 |   23 | rateus-pl |   3 |    1 |  31
  7012 |   23 | rateus-pl |   3 |    2 |   1
  7012 |   23 | rateus-pl |   3 |    3 |   3
  7012 |   23 | rateus-pl |   3 |    4 |  66
  7015 |   23 | rateus-pl |   2 |    0 |  99
  7015 |   23 | rateus-pl |   2 |    1 |  97
  7015 |   23 | rateus-pl |   2 |    2 |   0
  7015 |   23 | rateus-pl |   2 |    3 |   0
  7015 |   23 | rateus-pl |   2 |    4 |  98
  7016 |   23 | rateus-pl |   3 |    0 |  71
  7016 |   23 | rateus-pl |   3 |    1 |  13
  7016 |   23 | rateus-pl |   3 |    2 |   0
  7016 |   23 | rateus-pl |   3 |    3 |   0
  7016 |   23 | rateus-pl |   3 |    4 |  46
  7017 |   23 | rateus-pl |   0 |    0 |   3
  7017 |   23 | rateus-pl |   0 |    1 |  76
  7017 |   23 | rateus-pl |   0 |    2 |  99
