  sid  | stid | category 
  9204 |   23 | HOP
  9205 |   23 | NEU
  9221 |   23 | ANG
  9238 |   23 | COM
  9242 |   23 | HOP
  9243 |   23 | NEU
  9247 |   23 | ANG
  9251 |   23 | COM
  9278 |   23 | ANG
  9279 |   23 | COM
  9282 |   23 | HOP
  9284 |   23 | NEU
  9292 |   23 | ANG
  9295 |   23 | COM
  9306 |   23 | HOP
  9319 |   23 | ANG
  9325 |   23 | HOP
  9327 |   23 | NEU
  9335 |   23 | ANG
  9336 |   23 | COM
  9356 |   23 | NEU
  9359 |   23 | ANG
  9362 |   23 | COM
  9363 |   23 | HOP
  9364 |   23 | NEU
  9365 |   23 | ANG
  9369 |   23 | COM
  9375 |   23 | HOP
  9385 |   23 | ANG
  9398 |   23 | COM
  9406 |   23 | HOP
  9407 |   23 | NEU
  9412 |   23 | ANG
  9419 |   23 | COM
  9429 |   23 | NEU
  9431 |   23 | ANG
  9432 |   23 | COM
  9439 |   23 | HOP
  9441 |   23 | ANG
  9448 |   23 | COM
  9449 |   23 | HOP
  9451 |   23 | NEU
  9455 |   23 | ANG
  9464 |   23 | COM
  9478 |   23 | HOP
  9489 |   23 | NEU
  9490 |   23 | ANG
  9515 |   23 | COM
  9518 |   23 | HOP
  9526 |   23 | ANG
  9536 |   23 | COM
  9539 |   23 | HOP
  9545 |   23 | NEU
  9549 |   23 | ANG
  9569 |   23 | COM
  9585 |   23 | HOP
  9602 |   23 | NEU
  9603 |   23 | ANG
  9619 |   23 | COM
  9638 |   23 | HOP
  9640 |   23 | NEU
  9671 |   23 | HOP
  9675 |   23 | COM
  9680 |   23 | NEU
  9687 |   23 | ANG
  9689 |   23 | COM
  9690 |   23 | HOP
  9713 |   23 | ANG
  9720 |   23 | COM
  9724 |   23 | HOP
  9733 |   23 | NEU
  9742 |   23 | ANG
  9747 |   23 | HOP
  9751 |   23 | NEU
  9753 |   23 | ANG
  9754 |   23 | COM
  9762 |   23 | NEU
  9765 |   23 | ANG
  9782 |   23 | COM
  9792 |   23 | NEU
  9796 |   23 | ANG
  9800 |   23 | COM
  9802 |   23 | HOP
  9804 |   23 | ANG
  9819 |   23 | NEU
  9820 |   23 | ANG
  9821 |   23 | COM
  9822 |   23 | HOP
  9824 |   23 | NEU
  9825 |   23 | HOP
  9826 |   23 | ANG
  9827 |   23 | COM
  9828 |   23 | NEU
  9830 |   23 | COM
  9832 |   23 | ANG
  9833 |   23 | COM
  9834 |   23 | HOP
  9835 |   23 | NEU
  9836 |   23 | ANG
  9837 |   23 | ANG
  9838 |   23 | COM
  9840 |   23 | NEU
  9841 |   23 | COM
