 sid  | stid | category | ord | mh | fh 
 7579 |   23 | ANG      |   2 |  0 |  0
 7579 |   23 | ANG      |   1 |  1 |  0
 7048 |   23 | ANG      |   5 |  1 |  0
 7048 |   23 | ANG      |   6 |  1 |  0
 7048 |   23 | ANG      |   7 |  0 |  1
 7048 |   23 | ANG      |   8 |  1 |  0
 7048 |   23 | ANG      |   9 |  0 |  0
 7048 |   23 | ANG      |  10 |  2 |  0
 7048 |   23 | ANG      |  11 |  1 |  0
 7048 |   23 | ANG      |  12 |  0 |  0
 7701 |   23 | ANG      |  10 |  3 |  0
 7579 |   23 | ANG      |   0 |  1 |  0
 6897 |   23 | ANG      |  10 |  0 |  0
 6897 |   23 | ANG      |  11 |  0 |  0
 7379 |   23 | ANG      |   2 |  1 |  1
 7052 |   23 | ANG      |   0 |  0 |  0
 6972 |   23 | ANG      |   0 |  0 |  1
 6972 |   23 | ANG      |   1 |  3 |  0
 6972 |   23 | ANG      |   2 |  0 |  0
 7052 |   23 | ANG      |   1 |  0 |  0
 7379 |   23 | ANG      |   3 |  0 |  0
 7052 |   23 | ANG      |   2 |  0 |  0
 7183 |   23 | ANG      |   0 |  0 |  0
 7183 |   23 | ANG      |   1 |  0 |  0
 7183 |   23 | ANG      |   2 |  0 |  0
 7183 |   23 | ANG      |   3 |  0 |  0
 7183 |   23 | ANG      |   4 |  0 |  0
 7183 |   23 | ANG      |   5 |  0 |  0
 7183 |   23 | ANG      |   6 |  0 |  0
 7183 |   23 | ANG      |   7 |  0 |  0
 7183 |   23 | ANG      |   8 |  0 |  0
 7183 |   23 | ANG      |   9 |  0 |  0
 7183 |   23 | ANG      |  10 |  0 |  0
 7183 |   23 | ANG      |  11 |  0 |  0
 7183 |   23 | ANG      |  12 |  0 |  0
 7183 |   23 | ANG      |  13 |  0 |  0
 7183 |   23 | ANG      |  14 |  0 |  0
 6972 |   23 | ANG      |   3 |  3 |  0
 7166 |   23 | ANG      |   0 |  4 |  0
 6972 |   23 | ANG      |   4 |  1 |  0
 7166 |   23 | ANG      |   1 |  8 |  0
 7166 |   23 | ANG      |   2 |  7 |  0
 7317 |   23 | ANG      |   1 |  1 |  0
 7166 |   23 | ANG      |   3 |  4 |  0
 7052 |   23 | ANG      |   3 |  0 |  0
 7052 |   23 | ANG      |   4 |  0 |  0
 7317 |   23 | ANG      |   2 |  0 |  0
